grid_ID	player_start_pos	player_loc	player_speed	ghosts_locs	dots_locs	ghosts_dists_from_player	dots_dists_from_player	cum_ghosts_dist	closest_ghost_dist	closest_dot_dist	salience_period	ghosts_chase_level	ghosts_speed	player_direction_facing	bonus	health	trial_end_reason	cum_run_time	round_cum_run_time	ITI_length
A	(36, 36)	(36, 36)	3	[(540, 264), (288, 168)]	[(540, 576), (36, 396), (792, 216), (144, 576), (684, 396), (792, 396), (684, 576), (540, 396), (684, 504), (540, 216), (144, 216), (288, 216), (144, 396), (36, 216), (792, 576)]	[732, 384]	[1044, 360, 936, 648, 1008, 1116, 1188, 864, 1116, 684, 288, 432, 468, 180, 1296]	1116	384	180	threat	90	3	still	0.0	96.8	N/A	6.515	7	5
A	(36, 36)	(36, 36)	3	[(540, 309), (288, 123)]	[(540, 576), (36, 396), (792, 216), (144, 576), (684, 396), (792, 396), (684, 576), (540, 396), (684, 504), (540, 216), (144, 216), (288, 216), (144, 396), (36, 216), (792, 576)]	[777, 339]	[1044, 360, 936, 648, 1008, 1116, 1188, 864, 1116, 684, 288, 432, 468, 180, 1296]	1116	339	180	threat	90	3	still	0.0	93.8	N/A	7.014	7	5
A	(36, 36)	(36, 36)	3	[(540, 354), (288, 78)]	[(540, 576), (36, 396), (792, 216), (144, 576), (684, 396), (792, 396), (684, 576), (540, 396), (684, 504), (540, 216), (144, 216), (288, 216), (144, 396), (36, 216), (792, 576)]	[822, 294]	[1044, 360, 936, 648, 1008, 1116, 1188, 864, 1116, 684, 288, 432, 468, 180, 1296]	1116	294	180	threat	90	3	still	0.0	90.8	N/A	7.508	8	5
A	(36, 36)	(36, 36)	3	[(540, 393), (286, 36)]	[(540, 576), (36, 396), (792, 216), (144, 576), (684, 396), (792, 396), (684, 576), (540, 396), (684, 504), (540, 216), (144, 216), (288, 216), (144, 396), (36, 216), (792, 576)]	[861, 250]	[1044, 360, 936, 648, 1008, 1116, 1188, 864, 1116, 684, 288, 432, 468, 180, 1296]	1111	250	180	threat	90	3	still	0.0	87.8	N/A	8.005	8	5
A	(36, 36)	(36, 36)	3	[(540, 348), (256, 36)]	[(540, 576), (36, 396), (792, 216), (144, 576), (684, 396), (792, 396), (684, 576), (540, 396), (684, 504), (540, 216), (144, 216), (288, 216), (144, 396), (36, 216), (792, 576)]	[816, 220]	[1044, 360, 936, 648, 1008, 1116, 1188, 864, 1116, 684, 288, 432, 468, 180, 1296]	1036	220	180	threat	90	3	still	0.0	84.8	N/A	8.502	9	5
